cTag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 25, 35, -1, 1, "0.994765" 
0, comb, central, 1, -2.5, 2.5, 35, 50, -1, 1, "0.985581" 
0, comb, central, 1, -2.5, 2.5, 50, 70, -1, 1, "0.981402" 
0, comb, central, 1, -2.5, 2.5, 70, 200, -1, 1, "1.020696" 
0, comb, down, 1, -2.5, 2.5, 25, 35, -1, 1, "0.994765-0.019186" 
0, comb, down, 1, -2.5, 2.5, 35, 50, -1, 1, "0.985581-0.022196" 
0, comb, down, 1, -2.5, 2.5, 50, 70, -1, 1, "0.981402-0.024072" 
0, comb, down, 1, -2.5, 2.5, 70, 200, -1, 1, "1.020696-0.033555" 
0, comb, up, 1, -2.5, 2.5, 25, 35, -1, 1, "0.994765+0.019186" 
0, comb, up, 1, -2.5, 2.5, 35, 50, -1, 1, "0.985581+0.022196" 
0, comb, up, 1, -2.5, 2.5, 50, 70, -1, 1, "0.981402+0.024072" 
0, comb, up, 1, -2.5, 2.5, 70, 200, -1, 1, "1.020696+0.033555" 
1, comb, central, 1, -2.5, 2.5, 25, 35, -1, 1, "0.988083" 
1, comb, central, 1, -2.5, 2.5, 35, 50, -1, 1, "0.937367" 
1, comb, central, 1, -2.5, 2.5, 50, 70, -1, 1, "0.949114" 
1, comb, central, 1, -2.5, 2.5, 70, 200, -1, 1, "0.984301" 
1, comb, down, 1, -2.5, 2.5, 25, 35, -1, 1, "0.988083-0.023751" 
1, comb, down, 1, -2.5, 2.5, 35, 50, -1, 1, "0.937367-0.027096" 
1, comb, down, 1, -2.5, 2.5, 50, 70, -1, 1, "0.949114-0.042109" 
1, comb, down, 1, -2.5, 2.5, 70, 200, -1, 1, "0.984301-0.035577" 
1, comb, up, 1, -2.5, 2.5, 25, 35, -1, 1, "0.988083+0.023751" 
1, comb, up, 1, -2.5, 2.5, 35, 50, -1, 1, "0.937367+0.027096" 
1, comb, up, 1, -2.5, 2.5, 50, 70, -1, 1, "0.949114+0.042109" 
1, comb, up, 1, -2.5, 2.5, 70, 200, -1, 1, "0.984301+0.035577" 
2, comb, central, 1, -2.5, 2.5, 25, 35, -1, 1, "0.839928" 
2, comb, central, 1, -2.5, 2.5, 35, 50, -1, 1, "0.804223" 
2, comb, central, 1, -2.5, 2.5, 50, 70, -1, 1, "0.805358" 
2, comb, central, 1, -2.5, 2.5, 70, 200, -1, 1, "0.760651" 
2, comb, down, 1, -2.5, 2.5, 25, 35, -1, 1, "0.839928-0.033125" 
2, comb, down, 1, -2.5, 2.5, 35, 50, -1, 1, "0.804223-0.037553" 
2, comb, down, 1, -2.5, 2.5, 50, 70, -1, 1, "0.805358-0.045192" 
2, comb, down, 1, -2.5, 2.5, 70, 200, -1, 1, "0.760651-0.037794" 
2, comb, up, 1, -2.5, 2.5, 25, 35, -1, 1, "0.839928+0.033125" 
2, comb, up, 1, -2.5, 2.5, 35, 50, -1, 1, "0.804223+0.037553" 
2, comb, up, 1, -2.5, 2.5, 50, 70, -1, 1, "0.805358+0.045192" 
2, comb, up, 1, -2.5, 2.5, 70, 200, -1, 1, "0.760651+0.037794" 
0,TnP,central,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.0498"
0,TnP,down,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.86656"
0,TnP,up,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.233"
0,TnP,central,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.0386"
0,TnP,down,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.90589"
0,TnP,up,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.1713"
0,TnP,central,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.2231"
0,TnP,down,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.1717"
0,TnP,up,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.2745"
0,TnP,central,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1007"
0,TnP,down,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.0458"
0,TnP,up,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1556"
0,TnP,central,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.0553"
0,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.95854"
0,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.152"
1,TnP,central,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.0551"
1,TnP,down,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.97515"
1,TnP,up,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.1351"
1,TnP,central,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.0479"
1,TnP,down,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.97772"
1,TnP,up,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.1181"
1,TnP,central,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.1365"
1,TnP,down,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.0989"
1,TnP,up,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.174"
1,TnP,central,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1011"
1,TnP,down,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.063"
1,TnP,up,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1392"
1,TnP,central,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.0729"
1,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.96748"
1,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.1784"
2,TnP,central,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.96424"
2,TnP,down,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.86644"
2,TnP,up,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.062"
2,TnP,central,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.98614"
2,TnP,down,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.91159"
2,TnP,up,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.0607"
2,TnP,central,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.90355"
2,TnP,down,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.85832"
2,TnP,up,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.94879"
2,TnP,central,0,-2.5,2.5,140.0,200.0,0.0,1.0,"0.93414"
2,TnP,down,0,-2.5,2.5,140.0,200.0,0.0,1.0,"0.87412"
2,TnP,up,0,-2.5,2.5,140.0,200.0,0.0,1.0,"0.99416"
2,TnP,central,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.95361"
2,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.80816"
2,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.099"
0, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.03262+-0.000133225*x+5.46948e-08*x*x+-1.8915/x" 
0, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(1.03262+-0.000133225*x+5.46948e-08*x*x+-1.8915/x)*(1-(0.00916472+3.66768e-05*x+-7.22425e-09*x*x))" 
0, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.03262+-0.000133225*x+5.46948e-08*x*x+-1.8915/x)*(1-(0.00762879+3.59922e-05*x+-3.51232e-09*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.03262+-0.000133225*x+5.46948e-08*x*x+-1.8915/x)*(1-(0.00584576))" 
0, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(1.03262+-0.000133225*x+5.46948e-08*x*x+-1.8915/x)*(1+(0.00916472+3.66768e-05*x+-7.22425e-09*x*x))" 
0, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.03262+-0.000133225*x+5.46948e-08*x*x+-1.8915/x)*(1+(0.00762879+3.59922e-05*x+-3.51232e-09*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.03262+-0.000133225*x+5.46948e-08*x*x+-1.8915/x)*(1+(0.00584576))" 
1, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "1.07268+5.03743e-05*x+6.07487e-08*x*x+-1.48248/x" 
1, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "(1.07268+5.03743e-05*x+6.07487e-08*x*x+-1.48248/x)*(1-(0.0260841+-1.66457e-05*x+2.2344e-08*x*x))" 
1, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.07268+5.03743e-05*x+6.07487e-08*x*x+-1.48248/x)*(1-(0.0240564+-1.92351e-05*x+2.53065e-08*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.07268+5.03743e-05*x+6.07487e-08*x*x+-1.48248/x)*(1-(0.0102908))" 
1, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "(1.07268+5.03743e-05*x+6.07487e-08*x*x+-1.48248/x)*(1+(0.0260841+-1.66457e-05*x+2.2344e-08*x*x))" 
1, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.07268+5.03743e-05*x+6.07487e-08*x*x+-1.48248/x)*(1+(0.0240564+-1.92351e-05*x+2.53065e-08*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "(1.07268+5.03743e-05*x+6.07487e-08*x*x+-1.48248/x)*(1+(0.0102908))" 
2, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.48786+-0.000380882*x+1.29355e-06*x*x+0.0838231/x" 
2, incl, down, 2, 0, 2.5, 20, 1000, 0, 1, "0"
2, incl, down_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "0"
2, incl, down_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "0"
2, incl, up, 2, 0, 2.5, 20, 1000, 0, 1, "1"
2, incl, up_correlated, 2, 0, 2.5, 20, 1000, 0, 1, "1"
2, incl, up_uncorrelated, 2, 0, 2.5, 20, 1000, 0, 1, "1"
